"Year","State","Violent.Crimes","Poverty.Rate","Unemployment.Rate","Income.Per.Capita","Real.GDP"
2013,"Connecticut",283,"0,105",0.0795458014102134,62900,236050.6
2013,"Delaware",547.4,"0,13",0.066136850411453,44478,60235.8
2013,"Florida",487.1,"0,17",0.0752663502244157,41069,794842.1
2013,"Georgia",378.9,"0,189",0.0814224990279076,37813,454908.9
2013,"Hawaii",239.2,"0,109",0.047579107774598,44378,73063.2
2013,"Idaho",207.9,"0,159",0.0682361806977295,36229,60631.2
2013,"Illinois",414.8,"0,145",0.0908087477749496,47285,726125
2013,"Indiana",345.7,"0,158",0.0751523004125638,39829,307279.1
2013,"Iowa",263.9,"0,13",0.0473775405215991,43555,158480.8
2013,"Kansas",354.6,"0,136",0.0529956593404749,46291,141723.4
2013,"Kentucky",222.6,"0,184",0.079345360767076,36082,181505.9
2013,"Louisiana",496.9,"0,197",0.0643313413990733,41396,228452.8
2013,"Maine",122.7,"0,133",0.0669992204439636,40452,53239.1
2013,"Maryland",476.8,"0,103",0.0652882104987965,52576,334268.9
2013,"Massachusetts",405.5,"0,119",0.0664104598358115,56977,444874
2013,"Michigan",454.5,"0,168",0.0872960281431341,39696,428737.6
2013,"Minnesota",230.9,"0,113",0.0504013197700802,47977,305486.4
2013,"Mississippi",260.8,"0,244",0.0850147793389319,34222,100331.2
2013,"Missouri",450.9,"0,163",0.0677743317528998,40386,274599.3
2013,"Montana",272.2,"0,174",0.0536029718135457,40746,42968.2
2013,"Nebraska",259.4,"0,13",0.0368227347302763,46842,104680
2013,"Nevada",607.6,"0,157",0.0997317481890996,39565,129720.9
2013,"New Hampshire",187.9,"0,088",0.0525061336111122,51010,69080.3
2013,"New Jersey",290.2,"0,114",0.0840009911621376,55599,523725.8
2013,"New Mexico",559.1,"0,233",0.069078158102282,35149,86856.6
2013,"New York",406.8,"0,161",0.0780820387673236,54117,1329376.3
2013,"North Carolina",353.4,"0,18",0.0776392468793325,38225,452056.2
2013,"North Dakota",244.7,"0,12",0.0288633963617526,55222,52892.4
2013,"Ohio",299.7,"0,156",0.0745294640244341,41373,556210.5
2013,"Oklahoma",469.3,"0,167",0.0512945901895331,43951,177698.9
2013,"Oregon",247.6,"0,165",0.0777026605760078,39787,175933.8
2013,"Pennsylvania",348.7,"0,138",0.0712956129395246,46456,655929.2
2013,"Rhode Island",252.4,"0,141",0.0948031935741937,45990,51910.8
2013,"South Carolina",558.8,"0,186",0.074377582033596,36005,180881.6
2013,"South Dakota",321.8,"0,138",0.0371928899297843,45525,44147.4
2013,"Tennessee",643.6,"0,181",0.0775494242913299,39425,289794.6
2013,"Texas",408.6,"0,175",0.0631061722995775,44745,1484700.1
2013,"Utah",205.8,"0,128",0.0421015490893715,36628,133112.9
2013,"Vermont",142.6,"0,128",0.0442433397967314,46224,28681.5
2013,"Virginia",190.1,"0,118",0.055758619892346,48654,449063.8
2013,"Washington",295.6,"0,14",0.0664093833290568,47912,410873.9
2013,"West Virginia",316.3,"0,181",0.0670832687083169,35354,70550.1
2013,"Wisconsin",280.5,"0,136",0.0668719860835933,43194,278015
2013,"Wyoming",201.4,"0,106",0.0476798708153129,53620,38849.6
2014,"Alabama",449.9,"0,195",0.067451648503433,37384,189886.3
2014,"Alaska",603.2,"0,125",0.0674744568827789,55910,54188.2
2014,"Arizona",428.9,"0,18",0.0680627902890031,38211,276948.9
2014,"Arkansas",469.1,"0,188",0.0588849680939665,38650,111734.5
2014,"California",423.1,"0,164",0.0756116939495899,51332,2256054.7
2014,"Colorado",308.9,"0,122",0.0498437339882235,50706,298655.3
2014,"Connecticut",283,"0,102",0.0661600762267747,65844,235780.9
2014,"Delaware",547.4,"0,13",0.0559119263461097,46115,64940.1
2014,"Florida",487.1,"0,166",0.0644190785416635,43388,817233.5
2014,"Georgia",378.9,"0,186",0.0713883861125568,39994,470009.7
2014,"Hawaii",239.2,"0,116",0.0423213331024149,46658,73512.4
2014,"Idaho",207.9,"0,149",0.0439375296031632,37863,62454
2014,"Illinois",414.8,"0,143",0.071714729079975,49564,741194
2014,"Indiana",345.7,"0,153",0.0594205780467136,41274,316783.1
2014,"Iowa",263.9,"0,123",0.0424118837573187,44856,166619.2
2014,"Kansas",354.6,"0,136",0.0450506522857944,47169,145344.1
2014,"Kentucky",222.6,"0,187",0.064275141662472,36993,181471.8
2014,"Louisiana",496.9,"0,196",0.062503560545144,43112,235355.1
2014,"Maine",122.7,"0,146",0.0559139415245897,41964,54037.9
2014,"Maryland",476.8,"0,099",0.0573139098718791,54100,339604.6
2014,"Massachusetts",405.5,"0,116",0.0573482124697652,59400,451568.9
2014,"Michigan",454.5,"0,16",0.0722114793114228,41383,434313.2
2014,"Minnesota",230.9,"0,111",0.0427263144577007,50157,314091.3
2014,"Mississippi",260.8,"0,222",0.0760976605803651,34846,100283.6
2014,"Missouri",450.9,"0,154",0.0616124704053857,41084,276080.7
2014,"Montana",272.2,"0,161",0.0465841235532684,42591,43829.1
2014,"Nebraska",259.4,"0,126",0.0325880241010966,49216,107936.8
2014,"Nevada",607.6,"0,149",0.0816319284681741,41637,130897.4
2014,"New Hampshire",187.9,"0,093",0.0430514062294121,52839,70213.7
2014,"New Jersey",290.2,"0,111",0.0673306936033649,58137,522166.4
2014,"New Mexico",559.1,"0,214",0.0658658411618587,37304,88991.2
2014,"New York",406.8,"0,156",0.062816779842013,56270,1353410.4
2014,"North Carolina",353.4,"0,174",0.0612231128297502,40061,462253.1
2014,"North Dakota",244.7,"0,121",0.0261850166907199,57963,57790
2014,"Ohio",299.7,"0,159",0.0580047934750208,42984,574177.9
2014,"Oklahoma",469.3,"0,165",0.0433601200591173,46522,189360
2014,"Oregon",247.6,"0,161",0.0666237977077414,42133,181220.6
2014,"Pennsylvania",348.7,"0,135",0.0593184830783693,48394,669643.1
2014,"Rhode Island",252.4,"0,143",0.0776611645671498,47937,52293.4
2014,"South Carolina",558.8,"0,181",0.0627640121020358,37878,185986.9
2014,"South Dakota",321.8,"0,147",0.0333582534890067,47374,44846.5
2014,"Tennessee",643.6,"0,185",0.066053113092768,40263,294130.1
2014,"Texas",408.6,"0,172",0.0517548327819948,47273,1529617.1
2014,"Utah",205.8,"0,119",0.0363241207503138,38328,136993.7
2014,"Vermont",142.6,"0,102",0.0400150275026241,48260,28912.2
2014,"Virginia",190.1,"0,119",0.0511754199068718,50428,447678.1
2014,"Washington",295.6,"0,133",0.0592971592994768,50966,424467.6
2014,"West Virginia",316.3,"0,179",0.06506981011147,36618,70532.5
2014,"Wisconsin",280.5,"0,129",0.0533529651798965,44905,283981.1
2014,"Wyoming",201.4,"0,12",0.0434913245175243,57530,39559.4
2015,"Vermont",121,"0,096",0.0353548908416663,49662,29119
2015,"Maine",129,"0,129",0.0440574425893942,43888,54425.8
2015,"Virginia",196,"0,115",0.04390693574695,52379,455162.4
2015,"Wyoming",205,"0,102",0.0421601262549235,57576,40418.2
2015,"Kentucky",210,"0,182",0.052351572547526,38854,182916
2015,"New Hampshire",215,"0,079",0.0341475964031466,54935,72042.4
2015,"Idaho",217,"0,141",0.0388642355450905,39622,63081.2
2015,"Utah",224,"0,114",0.0354410453429619,40668,141720.5
2015,"Minnesota",234,"0,1",0.037845663347216,52229,318913.2
2015,"Hawaii",252,"0,109",0.0342665841528792,48566,75869.5
2015,"Montana",253,"0,146",0.0428187463313664,44066,45395.7
2015,"Oregon",254,"0,151",0.0546568061596006,44693,189946.5
2015,"Rhode Island",257,"0,137",0.0603397974326096,49625,52819.1
2015,"Nebraska",262,"0,126",0.0299939703658308,50887,111401.5
2015,"Connecticut",263,"0,103",0.0561808501304909,67761,242706.5
2015,"North Dakota",270,"0,118",0.0279257391033381,54503,56542.4
2015,"Iowa",271,"0,129",0.0370960590582621,46304,171126.5
2015,"Mississippi",275,"0,219",0.0650759511753782,35470,100482.4
2015,"Wisconsin",278,"0,116",0.044470707247561,46800,289077
